section,page,satellite,resolution,archive_price,tasking_price
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,Pléiades NEO,30 cm.,880,"1,270"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,WorldView-4,30 cm.,920,"1,560"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,SuperView-2,42 cm.,700,"1,100"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,WorldView-1,50 cm.,700,"1,100"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,WorldView-2,50 cm.,700,"1,100"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,WorldView-3,50 cm.,700,"1,100"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,GeoEye-1,50 cm.,700,"1,100"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,Pléiades,50 cm.,490,830
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,EarthScanner,50 cm.,400,800
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,SuperView-1,50 cm.,500,900
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,KOMPSAT-3,50 cm.,400,700
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก,1,SKYSAT,50 cm.,300,560
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,2,Video Constellation,1 m.,"142,500","285,000"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,2,Night Imaging,1 m.,800,"1,400"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,2,QuickBird,60 cm.,700,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,2,GaoFen-7,65 cm.,400,700
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,2,Jilin,75 cm.,300,600
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,2,DailyVision,75 cm.,300,600
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,2,GaoFen-2,80 cm.,300,400
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,2,IKONOS,1 m.,400,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,3,ไทยโชต,2 m.,700,"6,500"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,3,SPOT-6,1.5 m.,190,230
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง,3,SPOT-7,1.5 m.,190,230
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง,4,LANDSAT-5,30 m.,150,
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง,4,LANDSAT-7,30 m.,150,
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง,4,LANDSAT-8,30 m.,150,
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง,4,LANDSAT-9,30 m.,150,
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง,4,PLANETSCOPE 3 m.,Access+Download,180,240
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Standard,25 m.,"57,600","57,600"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Spotlight A,1 m.,"134,400","134,400"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Utra-Fine,3 m.,"86,400","86,400"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Wide Utra-Fine,3 m.,"124,800","124,800"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Multi-Look Fine,8 m.,"67,200","67,200"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Wide Multi-Look Fine,8 m.,"120,000","120,000"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Fine,8 m.,"57,600","57,600"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Wide,30 m.,"57,600","57,600"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,ScanSAR Narrow,50 m.,,"57,600"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,ScanSAR Wide,100 m.,,"57,600"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,"Extended High, Low",25 m.,"57,600","57,600"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Fine Quad-Pol,8 m.,"86,400",
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,5,Wide Fine Quad-Pol,8 m.,"124,800",
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,Staring Spotlight (ST),0.25 m.,"162,630","325,260"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,High Res Spotlight (HS),1 m.,"139,230","278,460"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,Spotlight,2 m.,"99,450","198,900"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,StripMap,3 m.,"69,030","138,060"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,ScanSAR,18.5 m.,"40,950","81,900"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,Wide ScanSAR,40 m.,"40,950","81,900"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,StripMap Himage 3 x 3 – 5,x,5,"93,000"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,StripMap PingPong 10 x 12 – 20,x,20,2
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,ScanSAR Wide 14 x 22 – 30,x,30,"78,000"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,6,ScanSAR Huge 14 x 38 – 100,x,100,"78,000"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Spotlight (SL) 1 m. HH,",VV,"116,400","180,500"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Ultra-fine Stripmap (UFS) 3 m. HH,",VV,"68,900","118,800"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Fine Stripmap (FSI) 5 m. HH,",VV,"64,200","95,000"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Wide Fine Stripmap (FSII) 10 m. HH, HV / VV,",VH,"64,200","90,300"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Standard Stripmap (SS) 25 m. HH, HV / VV,",VH,"54,700","85,500"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Narrow ScanSAR (NSC) 50 m. HH, HV / VV,",VH,"32,100","42,800"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Wide ScanSAR (WSC) 100 m. HH, HV / VV,",VH,"32,100","45,800"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Quad-pol Stripmap (QPSI) 8 m. HH, HV / VV,",VH,"71,300","137,800"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Wide Quad-pol Stripmap (QPSII) 25 m. HH, HV / VV,",VH,"71,300","137,800"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Wave (WAV) 10 m. HH, HV / VV,",VH,"10,700","14,300"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Global Observation (GLO) 500 m. HH, HV / VV,",VH,"10,700","14,300"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์,7,"Extended Incidence Angle (EXT) 25 m. HH, HV / VV,",VH,"42,800","57,000"
